0.00;0.00;0.01;33.09;66.81;17.45;27760.83;34920.00;3.94;0.94;0.00;0.00;5.13;0.66;66.00;320.00;5.17;0.29;29.00;160.00;20.288
0.00;0.01;0.01;33.09;71.21;17.45;27701.67;34904.16;3.92;0.92;0.00;0.00;5.14;0.60;60.00;320.00;5.19;0.37;37.00;200.00;21.303
0.00;0.00;0.00;33.09;93.21;18.91;27766.67;34928.33;3.76;0.93;0.00;0.00;5.15;0.60;60.00;300.00;5.15;0.31;31.00;160.00;22.317
0.02;0.01;0.01;33.58;87.34;18.91;27757.50;34920.00;3.94;0.69;0.00;0.00;5.14;0.61;61.00;320.00;5.17;0.29;29.00;160.00;23.332
0.02;0.02;0.02;33.58;67.30;17.45;27612.50;34810.83;3.95;0.84;0.00;0.00;5.11;0.69;69.00;300.00;5.15;0.35;35.00;160.00;24.345
0.02;0.02;0.02;33.58;76.10;17.45;27645.00;34808.33;3.92;-0.01;0.00;0.00;5.11;0.60;60.00;300.00;5.16;0.31;31.00;160.00;25.361
0.00;0.00;0.00;33.58;92.72;18.91;27622.50;34823.33;3.83;0.94;0.00;0.00;5.11;0.72;72.00;360.00;5.12;0.29;29.00;160.00;26.375
0.01;0.01;0.01;35.04;77.57;17.45;27689.17;34868.33;3.94;0.77;0.00;0.00;5.11;0.66;60.00;320.00;5.15;0.30;30.00;160.00;27.389
0.02;0.01;0.01;33.58;68.77;18.91;27680.00;34846.66;3.92;0.90;0.00;0.00;5.10;0.64;64.00;320.00;5.14;0.30;30.00;160.00;28.404
0.02;0.01;0.01;33.58;87.83;18.91;27702.50;34892.50;3.95;0.88;0.00;0.00;5.11;0.61;61.00;300.00;5.14;0.29;29.00;160.00;29.418
0.02;0.01;0.01;34.07;91.25;18.43;27732.50;34920.00;3.93;0.94;0.00;0.00;5.07;0.66;63.00;320.00;5.11;0.34;34.00;160.00;30.433
0.00;0.00;0.00;34.07;67.30;17.45;27715.00;34889.16;3.83;0.86;0.00;0.00;5.09;0.64;64.00;320.00;5.13;0.29;29.00;160.00;31.447
0.00;0.00;0.00;34.07;71.21;17.45;27721.67;34851.66;3.77;0.82;0.00;0.00;5.09;0.61;61.00;300.00;5.09;0.34;34.00;160.00;32.462
0.02;0.02;0.00;34.07;93.70;18.91;27717.50;34868.33;3.83;0.88;0.00;0.00;5.09;0.60;61.00;300.00;5.10;0.34;34.00;160.00;33.476
0.00;0.00;0.00;34.07;88.32;18.43;27615.00;34805.83;3.77;0.81;0.00;0.00;5.09;0.70;70.00;360.00;5.10;0.28;28.00;160.00;34.49
0.00;0.00;0.00;34.07;67.79;17.45;27662.50;34825.00;3.84;0.92;0.00;0.00;5.07;0.60;60.00;300.00;5.11;0.29;29.00;160.00;35.505
0.02;0.02;0.02;34.56;79.52;17.94;27706.67;34881.66;3.84;0.19;0.00;0.00;5.06;0.59;59.00;300.00;5.09;0.30;29.00;160.00;36.519
0.00;0.00;0.00;34.56;93.21;18.43;27708.33;34940.83;3.76;0.80;0.00;0.00;5.06;0.61;61.00;300.00;5.07;0.30;30.00;160.00;37.533
0.02;0.02;0.02;34.56;75.12;17.94;27714.17;34930.00;3.76;0.50;0.00;0.00;5.07;0.61;61.00;300.00;5.07;0.31;31.00;160.00;38.548
0.02;0.01;0.02;34.56;70.23;17.45;27668.33;34850.83;3.94;0.78;0.00;0.00;5.05;0.60;60.00;300.00;5.07;0.31;31.00;160.00;39.563
0.02;0.01;0.01;34.56;93.21;18.43;27632.50;34780.83;3.95;0.06;0.00;0.00;4.99;0.60;60.00;300.00;5.03;0.29;29.00;140.00;40.576
0.02;0.02;0.02;35.04;90.27;17.94;27664.17;34885.83;3.90;0.01;0.00;0.00;5.03;0.60;60.00;320.00;5.08;0.28;28.00;140.00;41.592
0.02;0.01;0.01;35.04;67.79;17.45;27721.67;34934.16;3.95;0.27;0.00;0.00;5.04;0.60;60.00;300.00;5.06;0.29;29.00;140.00;42.606
0.00;0.00;0.00;35.04;73.17;17.45;27635.00;34917.50;3.75;0.71;0.00;0.00;5.04;0.61;61.00;300.00;5.06;0.29;29.00;140.00;43.621
0.00;0.00;0.01;35.53;94.18;18.91;27669.17;34886.66;3.75;0.72;0.00;0.00;5.01;0.66;66.00;320.00;5.04;0.30;30.00;160.00;44.635
0.01;0.00;0.00;35.53;80.99;18.43;27665.83;34880.00;3.77;0.83;0.00;0.00;4.99;0.65;65.00;320.00;5.02;0.30;30.00;160.00;45.649
0.00;0.00;0.00;35.53;69.75;17.94;27673.33;34864.16;3.75;0.71;0.00;0.00;4.98;0.60;60.00;300.00;5.04;0.29;29.00;140.00;46.664
0.02;0.02;0.02;35.53;90.27;18.43;27651.67;34848.33;3.95;0.77;0.00;0.00;5.02;0.66;66.00;300.00;5.01;0.30;30.00;160.00;47.678
0.02;0.02;0.02;35.53;91.74;18.43;27596.67;34840.00;3.95;0.19;0.00;0.00;4.97;0.64;64.00;320.00;5.03;0.32;32.00;160.00;48.693
0.02;0.02;0.01;37.49;68.28;17.45;27644.17;34837.50;3.83;0.21;0.00;0.00;5.00;0.61;61.00;300.00;5.04;0.30;30.00;140.00;49.707
0.02;0.01;0.02;36.02;73.17;17.45;27607.50;34863.33;3.94;0.89;0.00;0.00;4.99;0.60;60.00;300.00;5.02;0.29;29.00;140.00;50.721
0.02;0.01;0.02;36.02;94.67;18.43;27644.17;34837.50;3.95;0.02;0.00;0.00;5.00;0.65;65.00;320.00;5.03;0.30;30.00;160.00;51.736
0.02;0.02;0.02;36.02;80.99;18.43;27625.83;34903.33;3.95;0.01;0.00;0.00;5.00;0.61;61.00;300.00;4.99;0.32;32.00;160.00;52.751
0.02;0.02;0.02;36.02;70.23;17.45;27693.33;34899.16;3.95;0.17;0.00;0.00;4.98;0.60;60.00;300.00;4.99;0.33;33.00;140.00;53.765
0.02;0.01;0.00;36.02;91.25;18.43;27611.67;34855.83;3.85;0.15;0.00;0.00;4.97;0.61;61.00;300.00;5.00;0.29;29.00;160.00;54.779
0.02;0.02;0.02;36.02;91.74;18.91;27642.50;34875.83;3.75;0.76;0.00;0.00;4.95;0.60;60.00;300.00;5.01;0.31;29.00;160.00;55.794
0.02;0.02;0.02;36.51;68.77;17.45;27665.00;34923.33;3.95;0.38;0.00;0.00;4.97;0.60;60.00;300.00;4.99;0.30;30.00;160.00;56.808
0.02;0.02;0.02;36.02;76.10;17.94;27707.50;34982.50;3.75;0.71;0.00;0.00;4.94;0.60;60.00;300.00;4.97;0.32;32.00;160.00;57.823
0.02;0.01;0.01;36.51;94.67;18.91;27720.83;34993.33;3.93;0.92;0.00;0.00;4.95;0.62;62.00;300.00;4.97;0.31;31.00;160.00;58.838
0.02;0.00;0.00;36.51;78.05;17.45;27781.67;35011.66;3.83;0.88;0.00;0.00;4.93;0.66;66.00;300.00;4.99;0.28;28.00;140.00;59.852
0.02;0.02;0.02;37.00;71.21;17.45;27759.17;35035.83;3.89;0.01;0.00;0.00;4.95;0.60;60.00;300.00;4.98;0.30;30.00;160.00;60.866
